protein_id,protein_regime,reference_regime,hierarchical_predicted_fold_class,predicted_fold_class,structure_fold_class,label_fold_class,regime_router_changed_prediction,hierarchical_high_confidence_wrong,structure_label_disagreement,possible_bad_row,gate_decision_reason,failure_cohort,manual_review_reasons
pdb_1R69_A_lambda_repressor_ntd,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,alpha_rich,False,False,False,False,compactness and closure are too weak to force a fold class; regime router kept abstention for small_peptide_or_fragment,abstained_on_regime_risk,ambiguous_reference
pdb_2MHR_A_myohemerythrin,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,alpha_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_1CYO_A_cytochrome_c2,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_rich,False,False,True,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1ROP_A_rop_protein,small_peptide_or_fragment,small_peptide_or_fragment,alpha_rich,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,True,True,True,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1GAB_A_albumin_binding_domain,small_peptide_or_fragment,small_peptide_or_fragment,alpha_rich,insufficient_topology_evidence,alpha_rich,alpha_rich,True,False,False,False,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,abstained_on_regime_risk,ambiguous_reference
pdb_1CUN_A_alpha_spectrin_repeat,compact_single_domain,multidomain_modular,multidomain_boundary,insufficient_topology_evidence,multidomain_boundary,alpha_rich,True,False,True,False,compact-single-domain regime conflicts with boundary/disorder class,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1CSP_A_cold_shock_protein,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment,abstained_on_regime_risk,ambiguous_reference
pdb_1SHG_A_src_sh3_domain,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",abstained_on_regime_risk,ambiguous_reference
pdb_1TIT_A_titin_i27,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_2PTL_A_protein_l_domain,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,beta_rich,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_unresolved,
pdb_1IGD_A_immunoglobulin_domain,small_peptide_or_fragment,small_peptide_or_fragment,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,beta_rich,True,True,True,True,sequence length is below the broad-fold context needed by the current gates; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1BFG_A_basic_fgf,intrinsically_disordered,compact_single_domain,disordered_flexible,insufficient_topology_evidence,beta_rich,beta_rich,True,False,False,False,"folded-domain mimic disorder conflict: high disorder pressure is present, but the sequence also has high complexity, aromatic enrichment, compact-core closure, long-range closure, and low true disorder-run evidence",abstained_unresolved,
pdb_1GFL_A_green_fluorescent_protein,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,multidomain_boundary,beta_rich,False,False,True,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1KSR_A_kunitz_serine_protease_inhibitor,ambiguous_regime,compact_single_domain,disordered_flexible,insufficient_topology_evidence,beta_rich,beta_rich,True,True,False,False,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,folded_small_domain_may_mimic_disorder_from_sequence
pdb_1TIM_A_triosephosphate_isomerase,compact_single_domain,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_unresolved,
pdb_1PGA_A_protein_g_b1,small_peptide_or_fragment,small_peptide_or_fragment,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",abstained_on_regime_risk,ambiguous_reference
pdb_4AKE_A_adenylate_kinase,compact_single_domain,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_unresolved,
pdb_1UBQ_A_ubiquitin,intrinsically_disordered,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,False,False,True,False,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_2TRX_A_thioredoxin,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_3CHY_A_chey_response_regulator,membrane_like,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for membrane_like",abstained_on_regime_risk,
pdb_2CI2_I_chymotrypsin_inhibitor_2,intrinsically_disordered,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,False,False,True,False,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1FKB_A_fk506_binding_protein,ambiguous_regime,compact_single_domain,disordered_flexible,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,True,True,True,False,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;folded_small_domain_may_mimic_disorder_from_sequence
pdb_2RN2_A_ribonuclease_a,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_unresolved,
pdb_1BTA_A_barstar,compact_single_domain,compact_single_domain,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,False,False,False,False,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for compact_single_domain",abstained_unresolved,
pdb_1CLL_A_calmodulin,compact_single_domain,multidomain_modular,multidomain_boundary,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,True,False,False,False,compact-single-domain regime conflicts with boundary/disorder class,abstained_unresolved,
pdb_1B57_A_fructose_bisphosphate_aldolase,compact_single_domain,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,multidomain_boundary,False,False,True,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1AON_A_groel,multidomain_modular,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,False,False,True,True,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1IGT_B_igg2a_heavy_chain,multidomain_modular,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,multidomain_boundary,False,False,True,True,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1GTR_A_glutaminyl_trna_synthetase,multidomain_modular,multidomain_modular,multidomain_boundary,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,True,True,True,True,long_modular_secondary_structure_ambiguous; long modular sequence has ambiguous secondary-structure pressure,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row;long_modular_secondary_structure_ambiguous
pdb_1E4M_M_myrosinase,multidomain_modular,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_rich,multidomain_boundary,False,False,True,True,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular",abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1F88_A_rhodopsin,membrane_like,membrane_like,multidomain_boundary,insufficient_topology_evidence,alpha_rich,multidomain_boundary,True,True,True,True,hydrophobic enrichment and cluster topology resemble a membrane-like regime; regime router abstained before accepting a broad fold-class claim,regime_prevented_high_confidence_wrong,structure_label_disagreement;ambiguous_reference;possible_bad_row
pdb_1GSA_A_glutathione_synthetase,compact_single_domain,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,False,False,True,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1TUP_A_p53_core_dna_complex,intrinsically_disordered,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,beta_rich,multidomain_boundary,False,False,True,False,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference
pdb_1LFG_A_lactoferrin,multidomain_modular,multidomain_modular,insufficient_topology_evidence,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,False,False,True,True,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,abstained_on_structure_label_disagreement,structure_label_disagreement;ambiguous_reference;possible_bad_row
disprot_P10451_osteopontin,intrinsically_disordered,intrinsically_disordered,insufficient_topology_evidence,insufficient_topology_evidence,disordered_flexible,disordered_flexible,False,False,False,False,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for intrinsically_disordered,abstained_unresolved,
disprot_P16949_stathmin,intrinsically_disordered,intrinsically_disordered,alpha_rich,insufficient_topology_evidence,disordered_flexible,disordered_flexible,True,False,False,False,intrinsically disordered regime conflicts with a folded hierarchy class,abstained_unresolved,
